candidate,office,party_detailed,party_simplified,state,state_po,votes
DAVID DAMSCHEN,STATE TREASURER,REPUBLICAN,REPUBLICAN,UTAH,UT,994114
CHRIS H WILSON,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,32677
CHRISTINE F WATKINS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,13077
KYLE BIRD,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,7498
KAREL JOY MCDONOUGH,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,2827
DAN MCCLELLAN,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,23586
STORMY D SIMON,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,5968
KELLY B MILES,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,10996
ANGELA ROMERO,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,10824
CHERYL BUTLER,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,8657
KAEL WESTON,US HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,129762
LONNIE WHITE JR,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,3149
GREGG BUXTON,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,42693
CAROL L HUNTER,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,6403
MARYANN CHRISTENSEN,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,8288
JAREN L DAVIS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,8520
PHIL GRAVES,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6717
CHRISTINE F WATKINS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,13077
GRANT PROTZMAN,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6607
CABOT W NELSON,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,607
DOUG WELTON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,18478
CHRIS STEWART,US HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,208997
LAWANNA LOU SHURTLIFF,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,7054
ASHLEE MATTHEWS,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6143
ERIKA LARSEN,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,18774
EMILY BERGESON,STATE SENATE,UTAH UNITED,OTHER,UTAH,UT,11351
JOSEPH R BIDEN,US PRESIDENT,DEMOCRAT,DEMOCRAT,UTAH,UT,560282
KELLY B MILES,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,10996
PHIL LYMAN,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,14518
BEN MCADAMS,US HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,175923
CATHERINE VOUTAZ,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,9113
MARSHA JUDKINS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,11893
CHRISTINE HEATH,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,3540
MATT GWYNN,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,17452
BRAD WILSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,17965
JOHN D JOHNSON,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,27728
JESSICA O'LEARY,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,3212
JOEL FERRY,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,15098
TRAVIS M SEEGMILLER,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,22562
KELLY B MILES,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,10996
HOLLY A GUNTHER,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,5415
TRAVIS CAMPBELL,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,6771
GREGG BUXTON,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,42693
CHUCK GOODE,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,13581
JIM WHITED,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,9681
NISHAN BEGLARIAN,STATE HOUSE,CONSTITUTION,OTHER,UTAH,UT,321
DAVID YOUNG,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,6458
CHRIS STEWART,US HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,208997
CHRISTOPHER L RAWLINS,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,4767
MARSHA JUDKINS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,11893
DAN JOHNSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,8196
JEFFREY L OSTLER,STATE AUDITOR,CONSTITUTION,OTHER,UTAH,UT,163872
LYNETTE WENDEL,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,7752
SAMUEL WINKLER,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,8749
MARY K DASILVA,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,5595
JEFFREY L OSTLER,STATE AUDITOR,CONSTITUTION,OTHER,UTAH,UT,163872
DAN MCCLELLAN,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,23586
SPENCER J COX,GOVERNOR,REPUBLICAN,REPUBLICAN,UTAH,UT,918753
BRIAN L FABBI,STATE AUDITOR,UTAH UNITED,OTHER,UTAH,UT,173644
STEWART E BARLOW,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,13881
KATHLEEN RIEBE,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,28811
DOUGLAS SAGERS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,10468
BRIAN L FABBI,STATE AUDITOR,UTAH UNITED,OTHER,UTAH,UT,173644
DON BLANKENSHIP,US PRESIDENT,CONSTITUTION,OTHER,UTAH,UT,5551
JEFFERSON S BURTON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,17515
AMMON GRUWELL,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,5301
JONATHAN L PETERSON,US HOUSE,INDEPENDENT,OTHER,UTAH,UT,23
JEFF STENQUIST,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,12773
BRADY BRAMMER,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,20733
CRAIG HALL,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,5398
CHRISTOPHER L RAWLINS,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,4767
J L F,US HOUSE,INDEPENDENT,OTHER,UTAH,UT,0
JOHN CURTIS,US HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,246674
TAB LYN UNO,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6302
CATHERINE VOUTAZ,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,9113
DAVID DAMSCHEN,STATE TREASURER,REPUBLICAN,REPUBLICAN,UTAH,UT,994114
LINCOLN FILLMORE,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,44126
JORDAN TEUSCHER,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,14011
CATHERINE ESLINGER,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,4841
GREG SKORDAS,ATTORNEY GENERAL,DEMOCRAT,DEMOCRAT,UTAH,UT,489500
CHRIS STEWART,US HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,208997
DIANE LEWIS,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6443
RICHARD T WHITNEY,GOVERNOR,INDEPENDENT,OTHER,UTAH,UT,61
JEFF STENQUIST,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,12773
CHRISTOPHER L RAWLINS,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,4767
KATHLEEN RIEBE,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,28811
JAREN L DAVIS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,8520
SUSAN PULSIPHER,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,19125
KERA BIRKELAND,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,15141
TODD WEILER,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,40575
SAMUEL WINKLER,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,8749
TANNER GREENHALGH,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,691
MIKE PETERSEN,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,15197
LUZ ESCAMILLA,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,17764
ERIC HUTCHINGS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,5747
CARL ALBRECHT,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,14488
CHERYL ACTON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,7988
JOHN CURTIS,US HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,246674
JOHN MOLNAR,US HOUSE,LIBERTARIAN,LIBERTARIAN,UTAH,UT,13053
CHERYL NUNN,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,5272
KERA BIRKELAND,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,15141
ANGELA ROMERO,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,10824
OSCAR LANDON MATA,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,7600
DAVID A ELSE,STATE HOUSE,INDEPENDENT,OTHER,UTAH,UT,7
GREG DUERDEN,GOVERNOR,INDEPENDENT AMERICAN,OTHER,UTAH,UT,25810
WENDY GARVIN,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6032
BRIAN S KING,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,16416
DAN JOHNSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,8196
JENNA RAKUITA,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,2443
KATY OWENS,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,20857
KATHERINE DAWNAE NICHOLSON,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6431
ASHLEE MATTHEWS,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6143
CAMERON DRANSFIELD,STATE HOUSE,CONSTITUTION,OTHER,UTAH,UT,3876
JIM DUNNIGAN,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,7836
BRIAN S KING,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,16416
DIANE LEWIS,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6443
CHRIS H WILSON,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,32677
"JOHN ""FRUGAL"" DOUGALL",STATE AUDITOR,REPUBLICAN,REPUBLICAN,UTAH,UT,1000845
ERIC HUTCHINGS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,5747
LYNETTE WENDEL,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,7752
J HOMER MORRILL,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,809
ANDREW STODDARD,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,10346
CHRISTINE F WATKINS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,13077
CHERYL BUTLER,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,8657
DERRIN R OWENS,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,41010
BRADY BRAMMER,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,20733
MELISSA GARFF BALLARD,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,13828
MARSHA JUDKINS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,11893
JEANNETTE PROCTOR,STATE HOUSE,CONSTITUTION,OTHER,UTAH,UT,1077
CATHERINE ESLINGER,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,4841
DOUG WELTON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,18478
CALVIN MUSSELMAN,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,8426
STEWART E BARLOW,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,13881
MARYANN CHRISTENSEN,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,8288
BRADY BRAMMER,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,20733
CAROL L HUNTER,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,6403
NORM THURSTON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,11536
JOSEPH R BIDEN,US PRESIDENT,DEMOCRAT,DEMOCRAT,UTAH,UT,560282
KATHERINE DAWNAE NICHOLSON,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6431
JEREMIAH K CLARK,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,5841
DAVID PARLEY HINKINS,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,38205
JOHN CURTIS,US HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,246674
RUDY J BAUTISTA,ATTORNEY GENERAL,LIBERTARIAN,LIBERTARIAN,UTAH,UT,82444
ELIZABETH L WEIGHT,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6261
KAREL JOY MCDONOUGH,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,2827
CINDIE QUINTANA,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,9301
KIRK D PEARSON,STATE HOUSE,CONSTITUTION,OTHER,UTAH,UT,1920
MADELINE KAZANTZIS,GOVERNOR,INDEPENDENT,OTHER,UTAH,UT,8329
DAN HEMMERT,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,47716
CRAIG HALL,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,5398
STEVE WALDRIP,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,10067
CHERYL ACTON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,7988
ADAM C BEAN,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,662
NISHAN BEGLARIAN,STATE HOUSE,CONSTITUTION,OTHER,UTAH,UT,321
ELIZABETH L WEIGHT,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6261
GREG SKORDAS,ATTORNEY GENERAL,DEMOCRAT,DEMOCRAT,UTAH,UT,489500
KEVEN J STRATTON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,12858
AUSTIN SIMCOX,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,588
MARSHA JUDKINS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,11893
SHERRY PHIPPS,STATE HOUSE,CONSTITUTION,OTHER,UTAH,UT,1402
JORDAN TEUSCHER,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,14011
NELSON ABBOTT,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,11683
SCOTT H CHEW,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,15774
JENNA RAKUITA,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,2443
DEVIN D THORPE,US HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,96067
RICHARD T WHITNEY,GOVERNOR,INDEPENDENT,OTHER,UTAH,UT,61
RYAN D WILCOX,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,12055
LYNETTE WENDEL,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,7752
AMBER HARDY,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,2514
LUKE GUSTAFSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,4031
MIKE SCHULTZ,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,13478
JADE SIMMONS,US PRESIDENT,INDEPENDENT,OTHER,UTAH,UT,78
JONIA M BRODERICK,US HOUSE,UTAH UNITED,OTHER,UTAH,UT,8037
JOSEPH SPECIALE,STATE TREASURER,LIBERTARIAN,LIBERTARIAN,UTAH,UT,198549
J ROBERT LATHAM,US HOUSE,LIBERTARIAN,LIBERTARIAN,UTAH,UT,15465
ERIKA LARSEN,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,18774
CASEY SNIDER,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,15841
AUSTIN SIMCOX,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,588
DAN JOHNSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,8196
MELISSA GARFF BALLARD,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,13828
SCOTT BELL,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6867
"JOHN ""FRUGAL"" DOUGALL",STATE AUDITOR,REPUBLICAN,REPUBLICAN,UTAH,UT,1000845
JESSICA O'LEARY,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,3212
BRAD WILSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,17965
JAKE ANDEREGG,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,63825
MIKE MCKELL,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,39515
FRANCIS D GIBSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,18636
JADE SIMMONS,US PRESIDENT,INDEPENDENT,OTHER,UTAH,UT,78
NISHAN BEGLARIAN,STATE HOUSE,CONSTITUTION,OTHER,UTAH,UT,321
JOEL FERRY,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,15098
ERIC HUTCHINGS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,5747
AMIEE O FINSTER,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,3334
JORDAN TEUSCHER,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,14011
EMILY BERGESON,STATE SENATE,UTAH UNITED,OTHER,UTAH,UT,11351
MARCI GREEN CAMPBELL,STATE SENATE,INDEPENDENT,OTHER,UTAH,UT,246
STEVE CHRISTIANSEN,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,9285
DOUGLAS SAGERS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,10468
JASON M ALLEN,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,7238
DOUG OWENS,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,14350
CRAIG HALL,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,5398
STEVE CHRISTIANSEN,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,9285
KEVEN J STRATTON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,12858
ELIZABETH L WEIGHT,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6261
CATHERINE ESLINGER,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,4841
KATE WALTERS,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,3576
JEFFERSON BARDIN,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,825
KERRY M WAYNE,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,4054
JEFF STENQUIST,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,12773
BRAD LAST,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,20372
OSCAR LANDON MATA,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,7600
CARL ALBRECHT,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,14488
SCOTT BELL,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6867
KYLE BIRD,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,7498
J ROBERT LATHAM,US HOUSE,LIBERTARIAN,LIBERTARIAN,UTAH,UT,15465
MERRILL NELSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,16036
STEVE ELIASON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,9748
GREG DUERDEN,GOVERNOR,INDEPENDENT AMERICAN,OTHER,UTAH,UT,25810
TOMMY WILLIAMS,STATE HOUSE,INDEPENDENT AMERICAN,OTHER,UTAH,UT,846
CHRISTOPHER L RAWLINS,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,4767
CHERYL ACTON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,7988
DAVID YOUNG,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,6458
PRESIDENT BODDIE,US PRESIDENT,C.U.P,OTHER,UTAH,UT,1
NELSON ABBOTT,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,11683
DERRIN R OWENS,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,41010
CATHERINE ESLINGER,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,4841
NILS BERGESON,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,3034
PIPER MANESSE,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,1374
DERRIN R OWENS,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,41010
DAVID M LUNDGREN,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,1602
CHRIS STEWART,US HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,208997
MERRILL NELSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,16036
BURGESS OWENS,US HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,179688
JEN DAILEY-PROVOST,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,18119
RYAN D WILCOX,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,12055
ANTHONY E LOUBET,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,6973
CHUCK GOODE,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,13581
MARK A WHEATLEY,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,9867
DAVID A ELSE,STATE HOUSE,INDEPENDENT,OTHER,UTAH,UT,7
BLAKE DAVID MOORE,US HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,237987
NANCY HUNTLY,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,13075
JEANNETTE PROCTOR,STATE HOUSE,CONSTITUTION,OTHER,UTAH,UT,1077
GREG SKORDAS,ATTORNEY GENERAL,DEMOCRAT,DEMOCRAT,UTAH,UT,489500
CRAIG HALL,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,5398
DARREN PARRY,US HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,104194
CARL ALBRECHT,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,14488
GRANT PROTZMAN,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6607
DANIEL RHEAD COTTAM,GOVERNOR,LIBERTARIAN,LIBERTARIAN,UTAH,UT,51393
CHRISTOPHER L RAWLINS,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,4767
LUCAS RAMIREZ,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,4278
DANIEL CLYDE CUMMINGS,US HOUSE,CONSTITUTION,OTHER,UTAH,UT,8889
TRAVIS CAMPBELL,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,6771
ASHLEE MATTHEWS,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6143
MATT MACPHERSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,4799
WALT BROOKS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,13984
JONIA M BRODERICK,US HOUSE,UTAH UNITED,OTHER,UTAH,UT,8037
KENZIE CARTER,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6607
JEFFERSON R MOSS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,27428
DEVIN D THORPE,US HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,96067
ROBERT S BURCH,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,5443
CABOT W NELSON,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,607
GLORIA LARIVA,US PRESIDENT,SOCIALISM AND LIBERATION,OTHER,UTAH,UT,1139
KANYE WEST,US PRESIDENT,INDEPENDENT,OTHER,UTAH,UT,7213
DAN JOHNSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,8196
DOUG OWENS,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,14350
CHRIS STEWART,US HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,208997
CAROL SPACKMAN MOSS,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,13037
"JOHN ""FRUGAL"" DOUGALL",STATE AUDITOR,REPUBLICAN,REPUBLICAN,UTAH,UT,1000845
GREG DUERDEN,GOVERNOR,INDEPENDENT AMERICAN,OTHER,UTAH,UT,25810
JENNA RAKUITA,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,2443
KENZIE CARTER,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6607
ANTHONY E LOUBET,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,6973
DOUG WELTON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,18478
STEVEN J LUND,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,14401
CATHERINE ESLINGER,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,4841
PHIL GRAVES,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,6717
GREG SKORDAS,ATTORNEY GENERAL,DEMOCRAT,DEMOCRAT,UTAH,UT,489500
RYAN BOUDWIN,STATE HOUSE,UTAH UNITED,OTHER,UTAH,UT,1178
BRAD WILSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,17965
JEFFERSON R MOSS,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,27428
NANCY HUNTLY,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,13075
CHRIS PETERSON,GOVERNOR,DEMOCRAT,DEMOCRAT,UTAH,UT,442754
WAYNE A HARPER,STATE SENATE,REPUBLICAN,REPUBLICAN,UTAH,UT,23525
ERIKA LARSEN,STATE SENATE,DEMOCRAT,DEMOCRAT,UTAH,UT,18774
JOSEPH SPECIALE,STATE TREASURER,LIBERTARIAN,LIBERTARIAN,UTAH,UT,198549
MARY K DASILVA,STATE HOUSE,DEMOCRAT,DEMOCRAT,UTAH,UT,5595
BRADLEY A BORDEN,STATE HOUSE,REPUBLICAN,REPUBLICAN,UTAH,UT,2825
